sol_per_pop,num_parents_mating,num_generations,keep_parents,parent_selection_type,crossover_type,mutation_type,mutation_percent_genes,num_genes,solution_fitness,duration,stop_criteria,sudoku_board_name
500,25,10000,10,rank,uniform,random,4,45,-4,7.89708399772644,saturate_50,sudoku1
500,25,10000,10,rank,uniform,random,4,45,-4,6.778641223907471,saturate_50,sudoku1
500,25,10000,10,rank,uniform,random,4,45,-6,5.535320281982422,saturate_50,sudoku1
500,25,10000,10,rank,uniform,random,4,45,-4,7.323192119598389,saturate_50,sudoku1
500,25,10000,10,rank,uniform,random,4,45,-2,11.602849960327148,saturate_50,sudoku1
500,25,10000,10,rank,uniform,random,4,45,-5,9.598366975784302,saturate_50,sudoku1
500,25,10000,10,rank,uniform,random,4,45,-6,5.537923097610474,saturate_50,sudoku1
500,25,10000,10,rank,uniform,random,4,45,-3,15.09888219833374,saturate_50,sudoku1
500,25,10000,10,rank,uniform,random,4,45,-2,12.65184211730957,saturate_50,sudoku1
500,25,10000,10,rank,uniform,random,4,45,-5,9.700802087783813,saturate_50,sudoku1
500,25,10000,10,rank,uniform,random,4,45,-4,10.05623173713684,saturate_50,sudoku1
500,25,10000,10,rank,uniform,random,4,45,-5,7.020843029022217,saturate_50,sudoku1
500,25,10000,10,rank,uniform,random,4,45,-5,6.234799146652222,saturate_50,sudoku1
500,25,10000,10,rank,uniform,random,4,45,-4,6.770888805389404,saturate_50,sudoku1
500,25,10000,10,rank,uniform,random,4,45,-5,7.2238991260528564,saturate_50,sudoku1
500,25,10000,10,rank,uniform,random,4,45,-2,6.848353624343872,saturate_50,sudoku1
500,25,10000,10,rank,uniform,random,4,45,-7,10.510565757751465,saturate_50,sudoku1
500,25,10000,10,rank,uniform,random,4,45,-5,6.1705217361450195,saturate_50,sudoku1
500,25,10000,10,rank,uniform,random,4,45,-3,8.095652103424072,saturate_50,sudoku1
500,25,10000,10,rank,uniform,random,4,45,-6,6.5021069049835205,saturate_50,sudoku1
500,25,10000,10,rank,uniform,random,4,45,-5,8.337315082550049,saturate_50,sudoku1
500,25,10000,10,rank,uniform,random,4,45,-6,7.347443103790283,saturate_50,sudoku1
500,25,10000,10,rank,uniform,random,4,45,-6,6.684922695159912,saturate_50,sudoku1
500,25,10000,10,rank,uniform,random,4,45,-4,8.515148878097534,saturate_50,sudoku1
500,25,10000,10,rank,uniform,random,4,45,-6,10.653537034988403,saturate_50,sudoku1
500,25,10000,10,rank,uniform,random,4,45,-3,9.224184036254883,saturate_50,sudoku1
500,25,10000,10,rank,uniform,random,4,45,-4,6.351760149002075,saturate_50,sudoku1
500,25,10000,10,rank,uniform,random,4,45,-4,13.856796979904175,saturate_50,sudoku1
500,25,10000,10,rank,uniform,random,4,45,-3,9.339736938476562,saturate_50,sudoku1
500,25,10000,10,rank,uniform,random,4,45,-4,7.860213994979858,saturate_50,sudoku1
500,25,10000,10,rank,uniform,random,4,45,-5,8.09937596321106,saturate_50,sudoku1
500,25,10000,10,rank,uniform,random,4,45,-4,6.535467147827148,saturate_50,sudoku1
500,25,10000,10,rank,uniform,random,4,45,-4,9.947707891464233,saturate_50,sudoku1
500,25,10000,10,rank,uniform,random,4,45,-5,6.753573179244995,saturate_50,sudoku1
500,25,10000,10,rank,uniform,random,4,45,-4,9.586966037750244,saturate_50,sudoku1
500,25,10000,10,rank,uniform,random,4,45,-7,6.926237106323242,saturate_50,sudoku1
500,25,10000,10,rank,uniform,random,4,45,-6,7.265444278717041,saturate_50,sudoku1
500,25,10000,10,rank,uniform,random,4,45,-4,8.196485996246338,saturate_50,sudoku1
500,25,10000,10,rank,uniform,random,4,45,-5,12.525115966796875,saturate_50,sudoku1
500,25,10000,10,rank,uniform,random,4,45,-4,7.966137170791626,saturate_50,sudoku1
500,25,10000,10,rank,uniform,random,4,45,-6,6.764659881591797,saturate_50,sudoku1
500,25,10000,10,rank,uniform,random,4,45,-5,6.813997983932495,saturate_50,sudoku1
500,25,10000,10,rank,uniform,random,4,45,-4,11.81161117553711,saturate_50,sudoku1
500,25,10000,10,rank,uniform,random,4,45,-3,8.722453117370605,saturate_50,sudoku1
500,25,10000,10,rank,uniform,random,4,45,-4,9.820791959762573,saturate_50,sudoku1
500,25,10000,10,rank,uniform,random,4,45,-4,9.151283025741577,saturate_50,sudoku1
500,25,10000,10,rank,uniform,random,4,45,-3,8.331470966339111,saturate_50,sudoku1
500,25,10000,10,rank,uniform,random,4,45,-4,5.901196241378784,saturate_50,sudoku1
500,25,10000,10,rank,uniform,random,4,45,-2,6.818877935409546,saturate_50,sudoku1
