sol_per_pop,num_parents_mating,num_generations,keep_parents,parent_selection_type,crossover_type,mutation_type,mutation_percent_genes,num_genes,solution_fitness,duration,stop_criteria,sudoku_board_name
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-5,8.411338090896606,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-5,9.975452899932861,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-2,12.736828804016113,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-4,8.69170093536377,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-5,7.708865165710449,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-8,8.279461145401001,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-5,12.842057943344116,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-3,11.084854125976562,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-5,9.9760582447052,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-5,9.246472835540771,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-4,13.197268009185791,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-3,11.678500175476074,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-4,10.008050203323364,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-5,9.108169078826904,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-7,6.724952697753906,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-3,8.299106121063232,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-4,14.317361831665039,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-6,11.996639966964722,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-3,12.319329977035522,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-3,19.45713996887207,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-4,11.875722169876099,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-6,11.500268936157227,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-2,16.28526282310486,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-2,10.182106256484985,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-5,8.135805368423462,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-3,12.294313192367554,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-6,8.793823003768921,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-4,7.90521502494812,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-2,15.13469910621643,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-5,9.503528833389282,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-6,9.846636056900024,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-2,6.9863808155059814,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-4,12.347141027450562,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-3,11.360434293746948,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-4,11.203737258911133,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-4,12.428657054901123,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-4,7.255552053451538,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-5,12.280432939529419,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-6,9.275627136230469,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-6,11.936382293701172,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-8,7.179950952529907,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-4,11.913821935653687,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-2,9.29446816444397,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-5,8.866197109222412,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-3,12.727030038833618,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-2,15.77877402305603,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-4,9.386293172836304,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-5,12.005497217178345,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-4,13.891441106796265,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-3,12.471102237701416,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-3,11.041458129882812,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-2,11.366682291030884,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-3,9.134872674942017,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-7,7.347196102142334,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-4,10.868886947631836,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-4,10.765662908554077,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-8,7.833620071411133,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-5,9.671080112457275,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-4,9.13300108909607,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-4,8.731443881988525,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-5,8.26487398147583,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-6,7.572880983352661,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-4,10.401041984558105,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-2,13.095168113708496,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-4,10.526438236236572,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-5,7.7319018840789795,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-5,13.11397910118103,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-6,10.698549032211304,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,0,14.0054190158844,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-5,8.775180101394653,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-5,9.693942070007324,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-5,12.32495903968811,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-2,14.22804880142212,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-5,16.854390859603882,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-4,14.185312986373901,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-4,14.086297035217285,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-4,10.590626001358032,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-4,8.278018951416016,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-6,8.149235963821411,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-5,9.676737785339355,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-2,9.2484450340271,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-4,10.798190116882324,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-3,13.838685274124146,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-6,7.954812288284302,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-4,8.884346961975098,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-2,9.491538047790527,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-2,9.124520063400269,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-2,18.78208613395691,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-4,10.036118030548096,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-5,11.166173219680786,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-2,16.02697205543518,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-4,10.491288900375366,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-4,11.150089979171753,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-6,7.349593877792358,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-4,12.648040056228638,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-4,9.573975086212158,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-2,11.429380178451538,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-6,6.801853895187378,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-6,9.669157981872559,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-4,10.21799898147583,saturate_50,sudoku2
1500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-6,21.047662019729614,saturate_50,sudoku1
1500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-2,34.337158203125,saturate_50,sudoku1
1500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-4,28.771712064743042,saturate_50,sudoku2
1500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-4,21.4117488861084,saturate_50,sudoku1
1500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-5,24.294631958007812,saturate_50,sudoku2
