sol_per_pop,num_parents_mating,num_generations,keep_parents,parent_selection_type,crossover_type,mutation_type,mutation_percent_genes,num_genes,solution_fitness,duration,stop_criteria,sudoku_board_name
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-4,7.9064741134643555,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-5,7.764302730560303,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-7,7.877079010009766,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-6,7.017314195632935,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-6,8.737779378890991,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-5,12.192389965057373,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-3,12.311232089996338,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-2,17.983136892318726,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-4,9.821499824523926,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-4,12.110517978668213,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-4,9.043231964111328,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-3,10.500037908554077,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-4,10.122397899627686,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-2,14.264727115631104,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-4,9.736024141311646,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-4,9.825598001480103,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-5,10.781278371810913,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-5,8.925732135772705,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-3,11.195600986480713,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-4,10.61379885673523,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-2,7.7406229972839355,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-2,11.755053758621216,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-2,12.558443069458008,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-7,10.640788793563843,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-6,10.661970853805542,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-6,8.740297079086304,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-6,7.599092960357666,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-3,10.910259246826172,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-4,11.172753810882568,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-6,9.195421934127808,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-2,10.608812808990479,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-5,10.791452169418335,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-3,11.085940837860107,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-6,13.329114198684692,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-3,11.74913501739502,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-4,10.092482089996338,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-3,10.973105907440186,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-5,9.791910171508789,saturate_50,sudoku1
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-6,10.83968710899353,saturate_50,sudoku2
500,25,10000,10,rank,<function cross_over_custom at 0x13e6504a0>,random,4,45,-5,8.856825113296509,saturate_50,sudoku2
