sol_per_pop,num_parents_mating,num_generations,keep_parents,parent_selection_type,crossover_type,mutation_type,mutation_percent_genes,num_genes,solution_fitness,duration,stop_criteria,sudoku_board_name
500,25,10000,10,rank,uniform,random,4,57,-5,7.230350017547607,saturate_50,sudoku7
500,25,10000,10,rank,uniform,random,4,57,-4,9.639095067977905,saturate_50,sudoku8
500,25,10000,10,rank,uniform,random,4,57,-6,5.69636607170105,saturate_50,sudoku7
500,25,10000,10,rank,uniform,random,4,57,-4,12.639459133148193,saturate_50,sudoku8
500,25,10000,10,rank,uniform,random,4,57,-7,6.152111768722534,saturate_50,sudoku8
500,25,10000,10,rank,uniform,random,4,57,-5,6.330610752105713,saturate_50,sudoku7
500,25,10000,10,rank,uniform,random,4,57,-4,7.94017481803894,saturate_50,sudoku8
500,25,10000,10,rank,uniform,random,4,57,-7,7.0682008266448975,saturate_50,sudoku7
500,25,10000,10,rank,uniform,random,4,57,-4,7.538236856460571,saturate_50,sudoku7
500,25,10000,10,rank,uniform,random,4,57,-7,7.9093968868255615,saturate_50,sudoku8
500,25,10000,10,rank,uniform,random,4,57,-5,8.614207983016968,saturate_50,sudoku8
500,25,10000,10,rank,uniform,random,4,57,-5,9.704187870025635,saturate_50,sudoku7
500,25,10000,10,rank,uniform,random,4,57,-6,6.8170130252838135,saturate_50,sudoku7
500,25,10000,10,rank,uniform,random,4,57,-2,9.946359157562256,saturate_50,sudoku7
500,25,10000,10,rank,uniform,random,4,57,-7,7.3184802532196045,saturate_50,sudoku8
500,25,10000,10,rank,uniform,random,4,57,-3,7.940361261367798,saturate_50,sudoku8
500,25,10000,10,rank,uniform,random,4,57,-6,6.198212146759033,saturate_50,sudoku7
500,25,10000,10,rank,uniform,random,4,57,-7,5.863610029220581,saturate_50,sudoku7
500,25,10000,10,rank,uniform,random,4,57,-7,6.446217060089111,saturate_50,sudoku7
500,25,10000,10,rank,uniform,random,4,57,-5,7.683337926864624,saturate_50,sudoku7
500,25,10000,10,rank,uniform,random,4,57,-4,9.639941930770874,saturate_50,sudoku8
500,25,10000,10,rank,uniform,random,4,57,-6,9.707816123962402,saturate_50,sudoku8
500,25,10000,10,rank,uniform,random,4,57,-9,4.807789087295532,saturate_50,sudoku8
500,25,10000,10,rank,uniform,random,4,57,-3,9.95524787902832,saturate_50,sudoku8
500,25,10000,10,rank,uniform,random,4,57,-7,5.836047172546387,saturate_50,sudoku7
500,25,10000,10,rank,uniform,random,4,57,0,13.235522031784058,saturate_50,sudoku8
500,25,10000,10,rank,uniform,random,4,57,-7,7.097439765930176,saturate_50,sudoku8
500,25,10000,10,rank,uniform,random,4,57,-4,7.92156720161438,saturate_50,sudoku8
500,25,10000,10,rank,uniform,random,4,57,-5,9.90519905090332,saturate_50,sudoku7
500,25,10000,10,rank,uniform,random,4,57,-3,11.213552713394165,saturate_50,sudoku8
500,25,10000,10,rank,uniform,random,4,57,-4,9.467366933822632,saturate_50,sudoku8
500,25,10000,10,rank,uniform,random,4,57,-5,9.995079040527344,saturate_50,sudoku8
500,25,10000,10,rank,uniform,random,4,57,-4,8.34691309928894,saturate_50,sudoku7
500,25,10000,10,rank,uniform,random,4,57,-5,10.198381900787354,saturate_50,sudoku7
500,25,10000,10,rank,uniform,random,4,57,-8,7.298269748687744,saturate_50,sudoku8
500,25,10000,10,rank,uniform,random,4,57,-5,5.276753902435303,saturate_50,sudoku8
500,25,10000,10,rank,uniform,random,4,57,-6,9.744733095169067,saturate_50,sudoku7
