sol_per_pop,num_parents_mating,num_generations,keep_parents,parent_selection_type,crossover_type,mutation_type,mutation_percent_genes,num_genes,solution_fitness,duration
1000,200,10000,10,sss,single_point,random,4,45,-2,13.910124063491821
1000,200,10000,10,sss,single_point,random,4,45,-4,7.1448869705200195
1000,200,10000,10,sss,single_point,random,4,45,-4,8.153690099716187
1000,200,10000,10,sss,single_point,random,4,45,-7,6.793162822723389
1000,200,10000,10,sss,single_point,random,4,45,-4,8.270095109939575
1000,200,10000,10,sss,single_point,random,4,45,-3,4.974053859710693
1000,200,10000,10,sss,single_point,random,4,45,-4,5.902817010879517
1000,200,10000,10,sss,single_point,random,4,45,-5,6.482753038406372
1000,200,10000,10,sss,single_point,random,4,45,0,7.528179168701172
1000,200,10000,10,sss,single_point,random,4,45,-3,11.439526796340942
1000,200,10000,10,sss,single_point,random,4,45,-6,6.6472389698028564
1000,200,10000,10,sss,single_point,random,4,45,-4,7.096055030822754
1000,200,10000,10,sss,single_point,random,4,45,-4,10.128480672836304
1000,200,10000,10,sss,single_point,random,4,45,-4,10.451300859451294
1000,200,10000,10,sss,single_point,random,4,45,-2,7.1892640590667725
1000,200,10000,10,sss,single_point,random,4,45,-5,7.158786058425903
1000,200,10000,10,sss,single_point,random,4,45,-4,6.314363956451416
1000,200,10000,10,sss,single_point,random,4,45,-4,5.086647033691406
1000,200,10000,10,sss,single_point,random,4,45,-4,5.3261730670928955
1000,200,10000,10,sss,single_point,random,4,45,-6,4.663244009017944
1000,200,10000,10,sss,single_point,random,4,45,-3,10.231734037399292
1000,200,10000,10,sss,single_point,random,4,45,-2,5.059095144271851
1000,200,10000,10,sss,single_point,random,4,45,-3,6.009766101837158
1000,200,10000,10,sss,single_point,random,4,45,-4,5.864858865737915
1000,200,10000,10,sss,single_point,random,4,45,-3,6.5719218254089355
1000,200,10000,10,sss,single_point,random,4,45,-4,5.076750755310059
1000,200,10000,10,sss,single_point,random,4,45,-4,5.336623907089233
1000,200,10000,10,sss,single_point,random,4,45,-5,6.174040079116821
1000,200,10000,10,sss,single_point,random,4,45,-4,5.481630802154541
1000,200,10000,10,sss,single_point,random,4,45,-2,5.704094886779785
1000,200,10000,10,sss,single_point,random,4,45,-4,4.39783501625061
1000,200,10000,10,sss,single_point,random,4,45,-4,7.15261697769165
1000,200,10000,10,sss,single_point,random,4,45,-4,6.804005861282349
1000,200,10000,10,sss,single_point,random,4,45,-6,5.784607172012329
1000,200,10000,10,sss,single_point,random,4,45,-3,6.5423150062561035
1000,200,10000,10,sss,single_point,random,4,45,-2,6.897617816925049
1000,200,10000,10,sss,single_point,random,4,45,-7,5.473037004470825
1000,200,10000,10,sss,single_point,random,4,45,-2,8.007871866226196
1000,200,10000,10,sss,single_point,random,4,45,-4,5.411325931549072
1000,200,10000,10,sss,single_point,random,4,45,-6,4.814647197723389
1000,200,10000,10,sss,single_point,random,4,45,-6,3.9265899658203125
1000,200,10000,10,sss,single_point,random,4,45,-6,4.331315279006958
1000,200,10000,10,sss,single_point,random,4,45,-3,6.960531949996948
1000,200,10000,10,sss,single_point,random,4,45,-6,4.657887935638428
1000,200,10000,10,sss,single_point,random,4,45,-6,6.326206922531128
1000,200,10000,10,sss,single_point,random,4,45,-4,6.9654459953308105
1000,200,10000,10,sss,single_point,random,4,45,-5,6.248569965362549
1000,200,10000,10,sss,single_point,random,4,45,-6,4.796065092086792
1000,200,10000,10,sss,single_point,random,4,45,-4,5.539640188217163
1000,200,10000,10,sss,single_point,random,4,45,-2,7.283022880554199
1000,200,10000,10,sss,single_point,random,4,45,-3,7.00007700920105
1000,200,10000,10,sss,single_point,random,4,45,-3,6.488615989685059
1000,200,10000,10,sss,single_point,random,4,45,-6,5.212287187576294
1000,200,10000,10,sss,single_point,random,4,45,-4,6.2834742069244385
1000,200,10000,10,sss,single_point,random,4,45,-3,5.892263174057007
1000,200,10000,10,sss,single_point,random,4,45,-5,5.851384162902832
1000,200,10000,10,sss,single_point,random,4,45,-4,5.792487859725952
1000,200,10000,10,sss,single_point,random,4,45,-3,7.400325298309326
1000,200,10000,10,sss,single_point,random,4,45,-4,6.306991100311279
1000,200,10000,10,sss,single_point,random,4,45,-3,5.222270965576172
1000,200,10000,10,sss,single_point,random,4,45,-5,6.30878210067749
1000,200,10000,10,sss,single_point,random,4,45,-6,6.3702898025512695
1000,200,10000,10,sss,single_point,random,4,45,-5,8.193110942840576
1000,200,10000,10,sss,single_point,random,4,45,-4,7.45196270942688
1000,200,10000,10,sss,single_point,random,4,45,-5,7.022830963134766
1000,200,10000,10,sss,single_point,random,4,45,-5,4.686784982681274
1000,200,10000,10,sss,single_point,random,4,45,-6,4.901163816452026
1000,200,10000,10,sss,single_point,random,4,45,-2,6.2234179973602295
1000,200,10000,10,sss,single_point,random,4,45,-2,9.174760341644287
1000,200,10000,10,sss,single_point,random,4,45,-5,5.707923889160156
1000,200,10000,10,sss,single_point,random,4,45,-4,5.355521202087402
1000,200,10000,10,sss,single_point,random,4,45,-7,4.1420793533325195
1000,200,10000,10,sss,single_point,random,4,45,-2,6.595334053039551
1000,200,10000,10,sss,single_point,random,4,45,-4,6.688633680343628
1000,200,10000,10,sss,single_point,random,4,45,-7,5.457580089569092
1000,200,10000,10,sss,single_point,random,4,45,-4,6.251239776611328
1000,200,10000,10,sss,single_point,random,4,45,-6,5.599090814590454
1000,200,10000,10,sss,single_point,random,4,45,-4,7.448292016983032
1000,200,10000,10,sss,single_point,random,4,45,-2,7.900087118148804
1000,200,10000,10,sss,single_point,random,4,45,-7,6.854130983352661
1000,200,10000,10,sss,single_point,random,4,45,-2,5.464382171630859
1000,200,10000,10,sss,single_point,random,4,45,-4,4.465665102005005
1000,200,10000,10,sss,single_point,random,4,45,-4,7.238437175750732
1000,200,10000,10,sss,single_point,random,4,45,-8,4.577883958816528
1000,200,10000,10,sss,single_point,random,4,45,-5,5.299445152282715
1000,200,10000,10,sss,single_point,random,4,45,-5,5.649378776550293
1000,200,10000,10,sss,single_point,random,4,45,-4,5.200899124145508
1000,200,10000,10,sss,single_point,random,4,45,-4,4.687809944152832
1000,200,10000,10,sss,single_point,random,4,45,-3,7.894843816757202
1000,200,10000,10,sss,single_point,random,4,45,-5,5.810838937759399
1000,200,10000,10,sss,single_point,random,4,45,-5,5.750118732452393
1000,200,10000,10,sss,single_point,random,4,45,-5,4.543708324432373
1000,200,10000,10,sss,single_point,random,4,45,-3,5.4841108322143555
1000,200,10000,10,sss,single_point,random,4,45,-5,5.430186033248901
1000,200,10000,10,sss,single_point,random,4,45,-4,5.258724927902222
1000,200,10000,10,sss,single_point,random,4,45,-4,6.115964889526367
1000,200,10000,10,sss,single_point,random,4,45,-4,6.758048057556152
1000,200,10000,10,sss,single_point,random,4,45,-7,4.402388095855713
1000,200,10000,10,sss,single_point,random,4,45,-6,5.295645236968994
1000,200,10000,10,sss,single_point,random,4,45,-6,6.030895233154297
1000,200,10000,10,sss,single_point,random,4,45,-4,10.414807081222534
1000,200,10000,10,sss,single_point,random,4,45,-4,6.440381050109863
1000,200,10000,10,sss,single_point,random,4,45,-2,8.004174947738647
1000,200,10000,10,sss,single_point,random,4,45,-5,5.069430112838745
1000,200,10000,10,sss,single_point,random,4,45,-6,3.9662089347839355
1000,200,10000,10,sss,single_point,random,4,45,-2,6.170497179031372
1000,200,10000,10,sss,single_point,random,4,45,-6,4.949803113937378
1000,200,10000,10,sss,single_point,random,4,45,-5,5.576990842819214
1000,200,10000,10,sss,single_point,random,4,45,-4,4.963818311691284
1000,200,10000,10,sss,single_point,random,4,45,-5,5.606238126754761
1000,200,10000,10,sss,single_point,random,8,45,-10,8.405195236206055
1000,200,10000,10,sss,single_point,random,8,45,-11,6.05287504196167
1000,200,10000,10,sss,single_point,random,8,45,-9,7.380035877227783
1000,200,10000,10,sss,single_point,random,8,45,-15,4.846576929092407
1000,200,10000,10,sss,single_point,random,8,45,-10,8.646522998809814
1000,200,10000,10,sss,single_point,random,8,45,-12,5.367847204208374
1000,200,10000,10,sss,single_point,random,8,45,-7,11.654867887496948
1000,200,10000,10,sss,single_point,random,8,45,-11,4.558184862136841
1000,200,10000,10,sss,single_point,random,8,45,-11,6.795377969741821
1000,200,10000,10,sss,single_point,random,8,45,-13,4.958721876144409
1000,200,10000,10,sss,single_point,random,8,45,-9,6.619977235794067
1000,200,10000,10,sss,single_point,random,8,45,-13,4.510694980621338
1000,200,10000,10,sss,single_point,random,8,45,-11,6.185894966125488
