sol_per_pop,num_parents_mating,num_generations,keep_parents,parent_selection_type,crossover_type,mutation_type,mutation_percent_genes,num_genes,solution_fitness,duration,stop_criteria
500,25,10000,10,rank,uniform,random,4,45,-2,10.285633087158203,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-6,5.217504024505615,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,5.280716896057129,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-2,5.710812091827393,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,6.170280933380127,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-3,5.765190124511719,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,8.200073957443237,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-5,7.6811089515686035,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,4.505633592605591,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-3,6.941184997558594,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-5,6.653872728347778,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,8.171275854110718,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-3,5.743093967437744,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-6,5.454381227493286,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,5.237683057785034,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-5,6.457524299621582,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-3,6.925445079803467,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,6.328411817550659,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-3,6.086364984512329,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-2,8.491076707839966,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-5,8.794620037078857,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-5,6.454870939254761,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-6,7.968773126602173,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-3,6.736358880996704,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,7.301607131958008,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,5.1815900802612305,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-2,7.325997829437256,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,4.900576114654541,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-2,9.07941722869873,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,7.865391254425049,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-5,6.05608606338501,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-3,8.079954147338867,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-5,5.480183124542236,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-6,4.824570894241333,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-8,4.7272491455078125,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-5,5.308318853378296,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-3,7.713281154632568,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,7.063939094543457,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,8.464854955673218,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,9.851693868637085,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-2,6.120537042617798,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-3,9.01259708404541,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-5,6.485613107681274,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-6,5.263192892074585,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,8.690006017684937,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-8,5.946367025375366,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-6,5.560286045074463,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-5,5.035207033157349,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-2,9.174371004104614,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-5,5.854717016220093,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,7.564244031906128,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,10.530110836029053,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-5,4.775341749191284,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,7.6204118728637695,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,9.754467964172363,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-2,12.081523895263672,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-6,4.934165000915527,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-6,7.660171985626221,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,10.264029264450073,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-7,4.837757110595703,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-3,12.359498262405396,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-3,5.624768018722534,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,4.9927990436553955,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-3,6.9813477993011475,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-2,6.761198043823242,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-3,5.629651069641113,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,8.147642850875854,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-2,6.475961923599243,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-5,4.976946115493774,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-3,5.0390260219573975,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-3,5.805232048034668,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-5,5.392028093338013,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-2,7.779207944869995,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-2,8.785671949386597,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-3,11.089866876602173,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-3,5.308652877807617,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-5,7.227701902389526,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,7.409747123718262,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-5,5.906638145446777,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,6.383326292037964,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-3,10.740789890289307,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-5,5.365404367446899,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,9.974944829940796,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,8.877053260803223,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-3,6.477692365646362,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-2,5.3113648891448975,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-3,6.003153085708618,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-5,7.974153280258179,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-3,7.417608976364136,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-3,10.887945890426636,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-5,9.192848205566406,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-3,9.017450094223022,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,7.859663009643555,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-6,6.925198078155518,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,7.429182052612305,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,6.808263063430786,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,5.8586509227752686,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,6.3771491050720215,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-3,8.506083250045776,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-2,14.0152268409729,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,5.198657751083374,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-5,9.094009160995483,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,8.963419914245605,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-6,4.9230968952178955,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-6,6.147049903869629,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-3,8.511487007141113,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,7.378513813018799,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-6,5.7328081130981445,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-5,8.838972806930542,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,11.439866304397583,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-5,5.870692014694214,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,8.482769966125488,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-3,10.375655889511108,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-5,8.743744850158691,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-3,7.180081367492676,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,11.678504943847656,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-3,6.113933801651001,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,8.570898056030273,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-7,7.724534034729004,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-6,6.580890893936157,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,6.62641716003418,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-2,9.832401037216187,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,5.651543855667114,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-5,7.377238035202026,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-7,6.100919008255005,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,10.61205506324768,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-3,13.310771942138672,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-2,9.09934115409851,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-2,9.069624185562134,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-5,7.021497964859009,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,5.193615913391113,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,8.535698175430298,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,8.215544939041138,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,7.7637269496917725,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,7.933767795562744,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-2,7.316581726074219,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-2,8.511229991912842,saturate_50
