sol_per_pop,num_parents_mating,num_generations,keep_parents,parent_selection_type,crossover_type,mutation_type,mutation_percent_genes,num_genes,solution_fitness,duration
100,25,100,10,sss,single_point,random,0.1,45,-6,0.6298422813415527
100,25,100,10,sss,single_point,random,0.2,45,-8,0.6238250732421875
100,25,100,10,sss,single_point,random,0.3,45,-7,0.6194980144500732
150,25,100,10,sss,single_point,random,0.1,45,-6,0.9344420433044434
150,25,100,10,sss,single_point,random,0.2,45,-5,0.9162018299102783
150,25,100,10,sss,single_point,random,0.3,45,-5,0.9943139553070068
200,25,100,10,sss,single_point,random,0.1,45,-4,1.2013959884643555
200,25,100,10,sss,single_point,random,0.2,45,-5,1.2020180225372314
200,25,100,10,sss,single_point,random,0.3,45,-6,1.2212011814117432
300,25,100,10,sss,single_point,random,0.1,45,-5,1.7529242038726807
300,25,100,10,sss,single_point,random,0.2,45,-6,1.7685489654541016
300,25,100,10,sss,single_point,random,0.3,45,-2,1.759943962097168
400,25,100,10,sss,single_point,random,0.1,45,-4,2.360841989517212
400,25,100,10,sss,single_point,random,0.2,45,-5,2.338761806488037
400,25,100,10,sss,single_point,random,0.3,45,-7,2.363298177719116
500,25,100,10,sss,single_point,random,0.1,45,-3,2.9338948726654053
500,25,100,10,sss,single_point,random,0.2,45,-2,2.9663562774658203
500,25,100,10,sss,single_point,random,0.3,45,-3,2.923783779144287
600,25,100,10,sss,single_point,random,0.1,45,-3,3.472669839859009
600,25,100,10,sss,single_point,random,0.2,45,-2,3.471903085708618
600,25,100,10,sss,single_point,random,0.3,45,-2,3.5294370651245117
100,30,100,10,sss,single_point,random,0.1,45,-3,0.5918221473693848
100,30,100,10,sss,single_point,random,0.2,45,-4,0.5977909564971924
100,30,100,10,sss,single_point,random,0.3,45,-6,0.609478235244751
150,30,100,10,sss,single_point,random,0.1,45,-7,0.8836750984191895
150,30,100,10,sss,single_point,random,0.2,45,-5,0.9055330753326416
150,30,100,10,sss,single_point,random,0.3,45,-5,0.8819189071655273
200,30,100,10,sss,single_point,random,0.1,45,-3,1.2008440494537354
200,30,100,10,sss,single_point,random,0.2,45,-8,1.2633862495422363
200,30,100,10,sss,single_point,random,0.3,45,-5,1.2069330215454102
300,30,100,10,sss,single_point,random,0.1,45,-6,1.7870728969573975
300,30,100,10,sss,single_point,random,0.2,45,-5,1.7850260734558105
300,30,100,10,sss,single_point,random,0.3,45,-6,1.7571077346801758
400,30,100,10,sss,single_point,random,0.1,45,-2,2.429659128189087
400,25,100,10,sss,single_point,random,0.2,45,-4,2.3544328212738037
400,30,100,10,sss,single_point,random,0.3,45,-4,2.3915770053863525
500,25,100,10,sss,single_point,random,0.1,45,-6,3.0403850078582764
500,25,100,10,sss,single_point,random,0.2,45,-3,2.9977548122406006
500,25,100,10,sss,single_point,random,0.3,45,-5,2.995584011077881
600,25,100,10,sss,single_point,random,0.1,45,-2,3.506279945373535
600,25,100,10,sss,single_point,random,0.2,45,-4,3.5984601974487305
600,25,100,10,sss,single_point,random,0.3,45,-3,3.590024948120117
100,30,400,10,sss,single_point,random,0.1,45,-8,2.3887338638305664
100,30,400,10,sss,single_point,random,0.2,45,-3,2.42409610748291
100,30,400,10,sss,single_point,random,0.3,45,-2,2.4559731483459473
150,30,400,10,sss,single_point,random,0.1,45,-4,3.6274800300598145
150,30,400,10,sss,single_point,random,0.2,45,-5,3.648592948913574
150,30,400,10,sss,single_point,random,0.3,45,-3,3.702878952026367
200,30,400,10,sss,single_point,random,0.1,45,-3,4.772000789642334
200,30,400,10,sss,single_point,random,0.2,45,-2,4.87906289100647
200,30,400,10,sss,single_point,random,0.3,45,-4,4.858310699462891
300,30,400,10,sss,single_point,random,0.1,45,-4,7.326726913452148
300,30,400,10,sss,single_point,random,0.2,45,-2,7.491540193557739
300,30,400,10,sss,single_point,random,0.3,45,0,7.62558388710022
400,30,400,10,sss,single_point,random,0.1,45,-2,9.911431312561035
400,25,400,10,sss,single_point,random,0.2,45,-2,9.94396710395813
400,30,400,10,sss,single_point,random,0.3,45,-3,10.01511001586914
500,25,400,10,sss,single_point,random,0.1,45,-2,12.57276701927185
500,25,400,10,sss,single_point,random,0.2,45,-3,12.487777948379517
500,25,400,10,sss,single_point,random,0.3,45,-4,12.394267320632935
600,25,400,10,sss,single_point,random,0.1,45,-4,15.337965965270996
600,25,400,10,sss,single_point,random,0.2,45,-3,14.902231931686401
600,25,400,10,sss,single_point,random,0.3,45,-3,15.073330163955688
100,25,100,10,sss,single_point,swap,0.1,45,-15,0.4629809856414795
100,25,100,10,sss,single_point,swap,0.1,45,-21,0.42467784881591797
100,25,100,10,sss,single_point,swap,0.1,45,-19,0.4453601837158203
100,25,100,10,sss,single_point,swap,0.1,45,-18,0.45622801780700684
100,25,100,10,sss,single_point,swap,0.2,45,-18,0.42369914054870605
100,25,100,10,sss,single_point,swap,0.3,45,-21,0.42027902603149414
150,25,100,10,sss,single_point,swap,0.1,45,-19,0.6793279647827148
150,25,100,10,sss,single_point,swap,0.2,45,-16,0.6500639915466309
150,25,100,10,sss,single_point,swap,0.3,45,-20,0.7055010795593262
200,25,100,10,sss,single_point,swap,0.1,45,-17,1.0683729648590088
200,25,100,10,sss,single_point,swap,0.2,45,-19,0.9858040809631348
200,25,100,10,sss,single_point,swap,0.3,45,-18,0.929326057434082
300,25,100,10,sss,single_point,swap,0.1,45,-20,1.2550048828125
300,25,100,10,sss,single_point,swap,0.2,45,-15,1.4389491081237793
300,25,100,10,sss,single_point,swap,0.3,45,-19,1.4901001453399658
400,25,100,10,sss,single_point,swap,0.1,45,-19,1.68888521194458
400,25,100,10,sss,single_point,swap,0.2,45,-17,1.990530014038086
400,25,100,10,sss,single_point,swap,0.3,45,-13,2.1282958984375
500,25,100,10,sss,single_point,swap,0.1,45,-19,2.5024189949035645
500,25,100,10,sss,single_point,swap,0.2,45,-21,2.6921677589416504
500,25,100,10,sss,single_point,swap,0.3,45,-23,2.6734108924865723
600,25,100,10,sss,single_point,swap,0.1,45,-19,3.3193130493164062
600,25,100,10,sss,single_point,swap,0.2,45,-22,3.4833269119262695
600,25,100,10,sss,single_point,swap,0.3,45,-21,2.7919816970825195
100,30,100,10,sss,single_point,swap,0.1,45,-21,0.4426078796386719
100,30,100,10,sss,single_point,swap,0.2,45,-23,0.46526384353637695
100,30,100,10,sss,single_point,swap,0.3,45,-21,0.5043849945068359
150,30,100,10,sss,single_point,swap,0.1,45,-20,0.8478331565856934
150,30,100,10,sss,single_point,swap,0.2,45,-20,0.8445401191711426
150,30,100,10,sss,single_point,swap,0.3,45,-17,0.7927041053771973
200,30,100,10,sss,single_point,swap,0.1,45,-20,1.042464017868042
200,30,100,10,sss,single_point,swap,0.2,45,-20,1.1535158157348633
200,30,100,10,sss,single_point,swap,0.3,45,-18,0.9543769359588623
300,30,100,10,sss,single_point,swap,0.1,45,-19,1.6668469905853271
300,30,100,10,sss,single_point,swap,0.2,45,-17,1.521286964416504
300,30,100,10,sss,single_point,swap,0.3,45,-16,1.600893259048462
400,30,100,10,sss,single_point,swap,0.1,45,-23,2.2266831398010254
400,25,100,10,sss,single_point,swap,0.2,45,-18,1.893603801727295
400,30,100,10,sss,single_point,swap,0.3,45,-21,1.8862719535827637
500,25,100,10,sss,single_point,swap,0.1,45,-22,2.3460981845855713
500,25,100,10,sss,single_point,swap,0.2,45,-19,2.6381609439849854
500,25,100,10,sss,single_point,swap,0.3,45,-21,2.2945830821990967
600,25,100,10,sss,single_point,swap,0.1,45,-20,3.2515387535095215
