sol_per_pop,num_parents_mating,num_generations,keep_parents,parent_selection_type,crossover_type,mutation_type,mutation_percent_genes,num_genes,solution_fitness,duration,stop_criteria
200,25,5000,10,sss,two_points,inversion,15,45,-22,3.3535258769989014,saturate_50
200,25,5000,10,sss,two_points,random,15,45,-21,4.575782775878906,saturate_50
200,25,5000,10,sss,two_points,inversion,30,45,-20,2.2128732204437256,saturate_50
200,25,5000,10,sss,two_points,random,30,45,-32,2.577392101287842,saturate_50
200,25,5000,10,sss,two_points,inversion,4,45,-22,2.1742630004882812,saturate_50
200,25,5000,10,sss,two_points,random,4,45,-5,2.3739748001098633,saturate_50
200,20,5000,10,sss,two_points,inversion,4,45,-24,3.3668060302734375,saturate_50
200,20,5000,10,sss,two_points,random,4,45,-2,3.4232571125030518,saturate_50
200,25,5000,10,sss,uniform,inversion,15,45,-29,3.172631025314331,saturate_50
200,25,5000,10,sss,uniform,random,15,45,-24,2.4393317699432373,saturate_50
200,25,5000,10,sss,uniform,inversion,30,45,-29,2.090704917907715,saturate_50
200,25,5000,10,sss,uniform,random,30,45,-32,3.0274531841278076,saturate_50
200,25,5000,10,sss,uniform,inversion,4,45,-30,2.1003289222717285,saturate_50
200,25,5000,10,sss,uniform,random,4,45,-6,2.7192370891571045,saturate_50
200,20,5000,10,sss,uniform,inversion,4,45,-27,4.2515788078308105,saturate_50
200,20,5000,10,sss,uniform,random,4,45,-5,3.023770809173584,saturate_50
200,25,5000,10,sss,scattered,inversion,15,45,-28,3.09002685546875,saturate_50
200,25,5000,10,sss,scattered,random,15,45,-24,2.279951810836792,saturate_50
200,25,5000,10,sss,scattered,inversion,30,45,-26,2.6487388610839844,saturate_50
200,25,5000,10,sss,scattered,random,30,45,-33,2.819906234741211,saturate_50
200,25,5000,10,sss,scattered,inversion,4,45,-24,2.8376340866088867,saturate_50
200,25,5000,10,sss,scattered,random,4,45,-4,2.422100067138672,saturate_50
200,20,5000,10,sss,uniform,inversion,4,45,-30,2.259079933166504,saturate_50
200,20,5000,10,sss,uniform,random,4,45,-5,3.647386074066162,saturate_50
200,25,5000,10,rws,two_points,inversion,15,45,-39,1.3968660831451416,saturate_50
200,25,5000,10,rws,two_points,random,15,45,-44,1.748702049255371,saturate_50
200,25,5000,10,rws,two_points,inversion,30,45,-48,1.2554197311401367,saturate_50
200,25,5000,10,rws,two_points,random,30,45,-46,2.1993918418884277,saturate_50
200,25,5000,10,rws,two_points,inversion,4,45,-48,1.3474960327148438,saturate_50
200,20,5000,10,rws,two_points,inversion,4,45,-48,1.279822826385498,saturate_50
200,20,5000,10,rws,two_points,random,4,45,-50,1.2645339965820312,saturate_50
200,25,5000,10,rws,uniform,inversion,15,45,-47,1.3944408893585205,saturate_50
200,25,5000,10,rws,uniform,random,15,45,-46,1.5750279426574707,saturate_50
200,25,5000,10,rws,uniform,inversion,30,45,-48,1.7994630336761475,saturate_50
200,25,5000,10,rws,uniform,random,30,45,-46,2.888603925704956,saturate_50
200,25,5000,10,rws,uniform,inversion,4,45,-47,2.090669870376587,saturate_50
200,25,5000,10,rws,uniform,random,4,45,-46,1.3437421321868896,saturate_50
200,20,5000,10,rws,uniform,inversion,4,45,-46,1.2971599102020264,saturate_50
200,20,5000,10,rws,uniform,random,4,45,-51,1.2909150123596191,saturate_50
200,25,5000,10,rws,scattered,inversion,15,45,-45,1.4020228385925293,saturate_50
200,25,5000,10,rws,scattered,random,15,45,-43,2.42012619972229,saturate_50
200,25,5000,10,rws,scattered,inversion,30,45,-49,1.3016178607940674,saturate_50
200,25,5000,10,rws,scattered,random,30,45,-43,1.655351161956787,saturate_50
200,25,5000,10,rws,scattered,inversion,4,45,-50,1.9535951614379883,saturate_50
200,25,5000,10,rws,scattered,random,4,45,-44,1.730135202407837,saturate_50
200,20,5000,10,rws,uniform,inversion,4,45,-44,1.4435951709747314,saturate_50
200,20,5000,10,rws,uniform,random,4,45,-52,1.4054210186004639,saturate_50
200,25,5000,10,rank,two_points,inversion,15,45,-21,3.4184799194335938,saturate_50
200,25,5000,10,rank,two_points,random,15,45,-20,2.971846103668213,saturate_50
200,25,5000,10,rank,two_points,inversion,30,45,-21,2.750500202178955,saturate_50
200,25,5000,10,rank,two_points,random,30,45,-34,2.605333089828491,saturate_50
200,25,5000,10,rank,two_points,inversion,4,45,-24,2.6385881900787354,saturate_50
200,20,5000,10,rank,two_points,inversion,4,45,-21,4.794994831085205,saturate_50
200,20,5000,10,rank,two_points,random,4,45,-4,2.876392364501953,saturate_50
200,25,5000,10,rank,uniform,inversion,15,45,-26,2.7104029655456543,saturate_50
200,25,5000,10,rank,uniform,random,15,45,-23,2.032529830932617,saturate_50
200,25,5000,10,rank,uniform,inversion,30,45,-26,4.172613859176636,saturate_50
200,25,5000,10,rank,uniform,random,30,45,-35,2.10957407951355,saturate_50
200,25,5000,10,rank,uniform,inversion,4,45,-26,3.749601125717163,saturate_50
200,25,5000,10,rank,uniform,random,4,45,-4,4.375545978546143,saturate_50
200,20,5000,10,rank,uniform,inversion,4,45,-27,2.73201322555542,saturate_50
200,20,5000,10,rank,uniform,random,4,45,-3,4.425739765167236,saturate_50
200,25,5000,10,rank,scattered,inversion,15,45,-28,2.1624932289123535,saturate_50
200,25,5000,10,rank,scattered,random,15,45,-20,2.9728901386260986,saturate_50
200,25,5000,10,rank,scattered,inversion,30,45,-30,3.2437052726745605,saturate_50
200,25,5000,10,rank,scattered,random,30,45,-38,1.5001866817474365,saturate_50
200,25,5000,10,rank,scattered,inversion,4,45,-30,1.5560729503631592,saturate_50
200,25,5000,10,rank,scattered,random,4,45,-6,2.4808902740478516,saturate_50
200,20,5000,10,rank,uniform,inversion,4,45,-24,3.807713031768799,saturate_50
200,20,5000,10,rank,uniform,random,4,45,-6,2.3785488605499268,saturate_50
200,25,5000,10,random,two_points,inversion,15,45,-44,1.3897149562835693,saturate_50
200,25,5000,10,random,two_points,random,15,45,-40,3.2795560359954834,saturate_50
200,25,5000,10,random,two_points,inversion,30,45,-45,2.2467880249023438,saturate_50
200,25,5000,10,random,two_points,random,30,45,-47,1.3388826847076416,saturate_50
200,25,5000,10,random,two_points,inversion,4,45,-44,2.40936017036438,saturate_50
200,20,5000,10,random,two_points,inversion,4,45,-48,1.4930059909820557,saturate_50
200,20,5000,10,random,two_points,random,4,45,-40,2.6791930198669434,saturate_50
200,25,5000,10,random,uniform,inversion,15,45,-45,1.3619511127471924,saturate_50
200,25,5000,10,random,uniform,random,15,45,-42,2.3721158504486084,saturate_50
200,25,5000,10,random,uniform,inversion,30,45,-45,2.1864099502563477,saturate_50
200,25,5000,10,random,uniform,random,30,45,-42,3.0970168113708496,saturate_50
200,25,5000,10,random,uniform,inversion,4,45,-43,2.321984052658081,saturate_50
200,25,5000,10,random,uniform,random,4,45,-45,1.827307939529419,saturate_50
200,20,5000,10,random,uniform,inversion,4,45,-45,2.177057981491089,saturate_50
200,20,5000,10,random,uniform,random,4,45,-43,3.2160348892211914,saturate_50
200,25,5000,10,random,scattered,inversion,15,45,-45,1.747513771057129,saturate_50
200,25,5000,10,random,scattered,random,15,45,-41,2.3596739768981934,saturate_50
200,25,5000,10,random,scattered,inversion,30,45,-44,1.705029010772705,saturate_50
200,25,5000,10,random,scattered,random,30,45,-43,1.8804922103881836,saturate_50
200,25,5000,10,random,scattered,inversion,4,45,-44,1.834859848022461,saturate_50
200,25,5000,10,random,scattered,random,4,45,-40,2.3918468952178955,saturate_50
200,20,5000,10,random,uniform,inversion,4,45,-45,1.7842309474945068,saturate_50
200,20,5000,10,random,uniform,random,4,45,-40,1.4161128997802734,saturate_50
200,25,5000,10,tournament,two_points,inversion,15,45,-37,1.8843159675598145,saturate_50
200,25,5000,10,tournament,two_points,random,15,45,-28,2.4724740982055664,saturate_50
200,25,5000,10,tournament,two_points,inversion,30,45,-30,3.1508970260620117,saturate_50
200,25,5000,10,tournament,two_points,random,30,45,-39,2.0280492305755615,saturate_50
200,25,5000,10,tournament,two_points,inversion,4,45,-32,2.551201105117798,saturate_50
200,20,5000,10,tournament,two_points,inversion,4,45,-32,2.1549980640411377,saturate_50
200,20,5000,10,tournament,two_points,random,4,45,-10,3.0447611808776855,saturate_50
200,25,5000,10,tournament,uniform,inversion,15,45,-37,2.836409091949463,saturate_50
200,25,5000,10,tournament,uniform,random,15,45,-31,2.990729808807373,saturate_50
200,25,5000,10,tournament,uniform,inversion,30,45,-38,1.7891662120819092,saturate_50
200,25,5000,10,tournament,uniform,random,30,45,-38,2.9108097553253174,saturate_50
200,25,5000,10,tournament,uniform,inversion,4,45,-37,2.51297926902771,saturate_50
200,25,5000,10,tournament,uniform,random,4,45,-5,6.163108825683594,saturate_50
200,20,5000,10,tournament,uniform,inversion,4,45,-35,2.9348487854003906,saturate_50
200,20,5000,10,tournament,uniform,random,4,45,-7,3.9925148487091064,saturate_50
200,25,5000,10,tournament,scattered,inversion,15,45,-35,1.8685309886932373,saturate_50
200,25,5000,10,tournament,scattered,random,15,45,-31,3.0408849716186523,saturate_50
200,25,5000,10,tournament,scattered,inversion,30,45,-35,1.5409510135650635,saturate_50
200,25,5000,10,tournament,scattered,random,30,45,-36,1.978126049041748,saturate_50
200,25,5000,10,tournament,scattered,inversion,4,45,-34,2.5163960456848145,saturate_50
200,25,5000,10,tournament,scattered,random,4,45,-6,4.1074769496917725,saturate_50
200,20,5000,10,tournament,uniform,inversion,4,45,-34,3.224315881729126,saturate_50
200,20,5000,10,tournament,uniform,random,4,45,-7,5.013556957244873,saturate_50
200,25,5000,10,sss,two_points,inversion,15,45,-20,4.771056890487671,saturate_100
200,25,5000,10,sss,two_points,random,15,45,-21,4.708411931991577,saturate_100
200,25,5000,10,sss,two_points,inversion,30,45,-22,4.935506105422974,saturate_100
200,25,5000,10,sss,two_points,random,30,45,-31,3.8158278465270996,saturate_100
200,25,5000,10,sss,two_points,inversion,4,45,-23,5.06308388710022,saturate_100
200,25,5000,10,sss,two_points,random,4,45,-4,6.098307132720947,saturate_100
200,20,5000,10,sss,two_points,inversion,4,45,-18,5.2770161628723145,saturate_100
200,20,5000,10,sss,two_points,random,4,45,-6,5.235756874084473,saturate_100
200,25,5000,10,sss,uniform,inversion,15,45,-27,5.098550081253052,saturate_100
200,25,5000,10,sss,uniform,random,15,45,-19,4.892835855484009,saturate_100
200,25,5000,10,sss,uniform,inversion,30,45,-26,6.581553936004639,saturate_100
200,25,5000,10,sss,uniform,random,30,45,-33,3.6784017086029053,saturate_100
200,25,5000,10,sss,uniform,inversion,4,45,-24,9.379379272460938,saturate_100
200,25,5000,10,sss,uniform,random,4,45,-2,5.716549873352051,saturate_100
200,20,5000,10,sss,uniform,inversion,4,45,-29,4.768528938293457,saturate_100
200,20,5000,10,sss,uniform,random,4,45,-4,7.099264144897461,saturate_100
200,25,5000,10,sss,scattered,inversion,15,45,-26,4.3142900466918945,saturate_100
200,25,5000,10,sss,scattered,random,15,45,-19,6.988787889480591,saturate_100
200,25,5000,10,sss,scattered,inversion,30,45,-23,4.50015115737915,saturate_100
200,25,5000,10,sss,scattered,random,30,45,-33,6.099865674972534,saturate_100
200,25,5000,10,sss,scattered,inversion,4,45,-26,4.850260019302368,saturate_100
200,25,5000,10,sss,scattered,random,4,45,-3,5.555237293243408,saturate_100
200,20,5000,10,sss,uniform,inversion,4,45,-26,5.891634941101074,saturate_100
200,20,5000,10,sss,uniform,random,4,45,-4,5.966578006744385,saturate_100
200,25,5000,10,rws,two_points,inversion,15,45,-43,2.507918119430542,saturate_100
200,25,5000,10,rws,two_points,random,15,45,-40,5.446181058883667,saturate_100
200,25,5000,10,rws,two_points,inversion,30,45,-50,2.7711539268493652,saturate_100
200,25,5000,10,rws,two_points,random,30,45,-38,4.7307329177856445,saturate_100
200,25,5000,10,rws,two_points,inversion,4,45,-46,2.7694568634033203,saturate_100
200,20,5000,10,rws,two_points,inversion,4,45,-46,2.5216548442840576,saturate_100
200,20,5000,10,rws,two_points,random,4,45,-46,2.461858034133911,saturate_100
200,25,5000,10,rws,uniform,inversion,15,45,-48,2.6109108924865723,saturate_100
200,25,5000,10,rws,uniform,random,15,45,-45,2.7672181129455566,saturate_100
200,25,5000,10,rws,uniform,inversion,30,45,-47,3.077517032623291,saturate_100
200,25,5000,10,rws,uniform,random,30,45,-42,2.9471800327301025,saturate_100
200,25,5000,10,rws,uniform,inversion,4,45,-45,2.646273136138916,saturate_100
200,25,5000,10,rws,uniform,random,4,45,-44,5.553987741470337,saturate_100
200,20,5000,10,rws,uniform,inversion,4,45,-51,2.809609889984131,saturate_100
200,20,5000,10,rws,uniform,random,4,45,-42,2.674100160598755,saturate_100
200,25,5000,10,rws,scattered,inversion,15,45,-49,2.4327337741851807,saturate_100
200,25,5000,10,rws,scattered,random,15,45,-45,3.773730993270874,saturate_100
200,25,5000,10,rws,scattered,inversion,30,45,-41,2.6513848304748535,saturate_100
200,25,5000,10,rws,scattered,random,30,45,-42,3.2698240280151367,saturate_100
200,25,5000,10,rws,scattered,inversion,4,45,-45,2.5080509185791016,saturate_100
200,25,5000,10,rws,scattered,random,4,45,-48,2.468101978302002,saturate_100
200,20,5000,10,rws,uniform,inversion,4,45,-46,2.9202120304107666,saturate_100
200,20,5000,10,rws,uniform,random,4,45,-46,2.6006619930267334,saturate_100
200,25,5000,10,rank,two_points,inversion,15,45,-17,8.081424236297607,saturate_100
200,25,5000,10,rank,two_points,random,15,45,-23,4.383821249008179,saturate_100
200,25,5000,10,rank,two_points,inversion,30,45,-24,3.502080202102661,saturate_100
