sol_per_pop,num_parents_mating,num_generations,keep_parents,parent_selection_type,crossover_type,mutation_type,mutation_percent_genes,num_genes,solution_fitness,duration,stop_criteria,sudoku_board_name
500,25,10000,10,rank,uniform,random,4,51,-5,7.011235952377319,saturate_50,sudoku4
500,25,10000,10,rank,uniform,random,4,50,-8,5.62782883644104,saturate_50,sudoku3
500,25,10000,10,rank,uniform,random,4,51,-5,8.455453872680664,saturate_50,sudoku4
500,25,10000,10,rank,uniform,random,4,51,-6,8.217804670333862,saturate_50,sudoku4
500,25,10000,10,rank,uniform,random,4,50,-7,9.728387117385864,saturate_50,sudoku3
500,25,10000,10,rank,uniform,random,4,50,-10,6.060649871826172,saturate_50,sudoku3
500,25,10000,10,rank,uniform,random,4,50,-10,5.0523388385772705,saturate_50,sudoku3
500,25,10000,10,rank,uniform,random,4,51,-10,6.128075122833252,saturate_50,sudoku4
500,25,10000,10,rank,uniform,random,4,51,-4,9.559627056121826,saturate_50,sudoku4
500,25,10000,10,rank,uniform,random,4,51,-5,7.284296274185181,saturate_50,sudoku4
500,25,10000,10,rank,uniform,random,4,51,-6,8.155627965927124,saturate_50,sudoku4
500,25,10000,10,rank,uniform,random,4,51,-6,5.83568000793457,saturate_50,sudoku4
500,25,10000,10,rank,uniform,random,4,50,-6,7.566967964172363,saturate_50,sudoku3
500,25,10000,10,rank,uniform,random,4,50,-5,7.858686923980713,saturate_50,sudoku3
500,25,10000,10,rank,uniform,random,4,51,-6,5.891004800796509,saturate_50,sudoku4
500,25,10000,10,rank,uniform,random,4,50,-5,9.005258083343506,saturate_50,sudoku3
500,25,10000,10,rank,uniform,random,4,50,-7,9.37075400352478,saturate_50,sudoku3
500,25,10000,10,rank,uniform,random,4,51,-3,9.910647869110107,saturate_50,sudoku4
500,25,10000,10,rank,uniform,random,4,50,-7,8.707349061965942,saturate_50,sudoku3
500,25,10000,10,rank,uniform,random,4,50,-7,6.096062183380127,saturate_50,sudoku3
500,25,10000,10,rank,uniform,random,4,51,-6,6.036187171936035,saturate_50,sudoku4
500,25,10000,10,rank,uniform,random,4,51,-7,5.728541135787964,saturate_50,sudoku4
500,25,10000,10,rank,uniform,random,4,50,-8,6.8275909423828125,saturate_50,sudoku3
500,25,10000,10,rank,uniform,random,4,50,-5,8.04994797706604,saturate_50,sudoku3
500,25,10000,10,rank,uniform,random,4,50,-10,5.464660167694092,saturate_50,sudoku3
500,25,10000,10,rank,uniform,random,4,51,-3,12.346982717514038,saturate_50,sudoku4
500,25,10000,10,rank,uniform,random,4,51,-7,6.226128101348877,saturate_50,sudoku4
500,25,10000,10,rank,uniform,random,4,51,-3,10.222530126571655,saturate_50,sudoku4
500,25,10000,10,rank,uniform,random,4,50,-8,6.70072865486145,saturate_50,sudoku3
500,25,10000,10,rank,uniform,random,4,50,-10,5.71652889251709,saturate_50,sudoku3
500,25,10000,10,rank,uniform,random,4,51,-7,6.117211103439331,saturate_50,sudoku4
500,25,10000,10,rank,uniform,random,4,50,-8,7.832818984985352,saturate_50,sudoku3
500,25,10000,10,rank,uniform,random,4,51,-5,5.272314071655273,saturate_50,sudoku4
500,25,10000,10,rank,uniform,random,4,51,-8,6.62825083732605,saturate_50,sudoku4
500,25,10000,10,rank,uniform,random,4,51,-6,7.445416212081909,saturate_50,sudoku4
500,25,10000,10,rank,uniform,random,4,51,-4,13.991867065429688,saturate_50,sudoku4
500,25,10000,10,rank,uniform,random,4,50,-7,8.230095148086548,saturate_50,sudoku3
500,25,10000,10,rank,uniform,random,4,51,-4,9.417695045471191,saturate_50,sudoku4
500,25,10000,10,rank,uniform,random,4,50,-7,7.726580858230591,saturate_50,sudoku3
500,25,10000,10,rank,uniform,random,4,50,-5,8.35602617263794,saturate_50,sudoku3
500,25,10000,10,rank,uniform,random,4,50,-7,8.988639831542969,saturate_50,sudoku3
